,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
77,Newcastle,ZA,52.67,-27.76,29.92,100,64,2.68
78,Port Shepstone,ZA,66.8,-30.74,30.45,100,100,10.96
79,Placido de Castro,BR,79.58,-10.34,-67.19,88,8,2.01
80,Chabahar,IR,77.15,25.29,60.65,90,12,8.61
81,Coquimbo,CL,57.2,-29.95,-71.34,93,0,2.24
82,Ajdabiya,LY,51.32,30.75,20.22,67,0,6.82
83,Chokurdakh,RU,16.85,70.62,147.9,100,8,7.61
84,Provideniya,RU,30.2,64.42,-173.23,74,40,17.9
85,Derzhavinsk,KZ,40.16,51.1,66.31,81,92,15.77
86,Ukiah,US,52.63,39.15,-123.21,71,90,5.82
87,San Antonio,CL,57.2,-33.58,-71.61,93,90,2.24
88,Sambava,MG,80.75,-14.27,50.17,100,56,9.95
89,Genhe,CN,29.45,50.78,121.52,68,68,16.67
90,Sitka,US,50,37.17,-99.65,63,8,5.99
91,Zvishavane,ZW,63.02,-20.32,30.05,96,92,6.71
92,Kavieng,PG,81.56,-2.57,150.8,100,36,6.49
93,Ahipara,NZ,70.58,-35.17,173.16,73,80,9.4
94,Mapalad,PH,86,15.43,121.1,58,40,2.24
95,Thunder Bay,CA,31.64,48.41,-89.26,55,75,11.41
96,Mango,IT,50.63,44.69,8.15,76,40,13.87
97,Airai,TL,81.56,-8.93,125.41,66,44,1.45
98,Port Alfred,ZA,63,-33.59,26.89,91,80,5.99
99,Butaritari,KI,76.97,3.07,172.79,100,92,8.84
100,Mold,GB,35.51,53.17,-3.14,86,75,5.82
101,Srednekolymsk,RU,29.81,67.46,153.71,75,0,3.13
102,Kosino,RU,16.67,58.41,51.28,65,0,6.15
103,Saint Anthony,US,40.42,43.97,-111.68,93,90,4.7
104,Kapaa,US,77.97,22.08,-159.32,57,20,18.34
105,Clyde River,CA,3.2,70.47,-68.59,91,90,38.03
106,Lakhdenpokhya,RU,28.99,61.52,30.2,78,0,8.95
107,East London,ZA,68.78,-33.02,27.91,100,88,21.92
108,Santa Maria del Oro,MX,60.59,25.95,-105.37,18,56,8.39
109,Turbat,PK,75.62,26,63.05,33,88,2.68
110,Yellowknife,CA,9.48,62.45,-114.38,55,40,13.87
111,Kaminokawa,JP,50.18,36.44,139.91,33,75,6.93
112,Bambous Virieux,MU,77,-20.34,57.76,83,20,6.15
113,Bonthe,SL,72.38,7.53,-12.5,100,92,6.26
114,Dikson,RU,25.22,73.51,80.55,100,64,17.67
115,Nikolskoye,RU,26.26,59.7,30.79,74,0,2.24
116,Tuatapere,NZ,61,-46.13,167.69,59,0,2.68
117,Dullewala,PK,80.57,31.84,71.44,34,12,4.36
118,Paamiut,GL,31.34,61.99,-49.67,96,80,27.85
119,Arraias,BR,69.95,-12.93,-46.94,90,48,2.01
120,Alice Springs,AU,77,-23.7,133.88,20,0,12.75
121,Klaksvik,FO,33.8,62.23,-6.59,80,64,35.57
122,Emerald,AU,79.39,-23.53,148.16,54,40,13.87
123,Ponta do Sol,BR,64.1,-20.63,-46,92,0,2.68
124,Kimbe,PG,80.93,-5.56,150.15,100,32,1.9
125,Rapar,IN,79.13,23.57,70.65,47,0,4.47
126,Peterhead,AU,77.65,-34.83,138.5,27,0,4.7
127,Upington,ZA,70.13,-28.46,21.24,64,48,15.21
128,Pitsunda,GE,42.8,43.16,40.34,87,75,6.71
129,Hasaki,JP,48.42,35.73,140.83,34,20,13.87
130,Lavrentiya,RU,29.18,65.58,-170.99,96,0,6.38
131,Gorontalo,ID,84.98,0.54,123.06,70,12,1.9
132,Barrow,AR,57.35,-38.31,-60.23,78,0,6.93
133,Alamosa,US,47.48,37.47,-105.87,36,1,4.7
134,Cabo San Lucas,MX,75.18,22.89,-109.91,38,20,11.41
135,Esperance,TT,77.25,10.24,-61.45,78,75,5.82
136,Ponta Delgada,PT,54.41,37.73,-25.67,87,75,12.75
137,Lichuan,CN,47.45,30.3,108.94,93,92,2.91
138,Almaznyy,RU,33.8,48.03,40.04,100,75,8.95
139,Leningradskiy,RU,21.98,69.38,178.42,94,20,21.47
140,Anadyr,RU,28.18,64.73,177.51,92,0,6.71
141,Ilulissat,GL,32,69.22,-51.1,75,88,25.28
142,Nouakchott,MR,64.4,18.08,-15.98,88,20,14.99
143,Tutoia,BR,77.78,-2.76,-42.27,95,92,4.14
144,Port Elizabeth,US,43.3,39.31,-74.98,93,90,11.41
145,Havre-Saint-Pierre,CA,28.4,50.23,-63.6,79,20,8.05
146,Xining,CN,45.38,36.62,101.77,32,24,1.45
147,College,US,35.85,64.86,-147.8,55,75,11.41
148,Rapid Valley,US,41.5,44.06,-103.15,48,90,6.26
149,Mragowo,PL,37.28,53.86,21.31,62,0,22.26
150,Veraval,FR,36.86,49.65,0.71,93,40,8.05
151,Aklavik,CA,1.4,68.22,-135.01,64,20,12.75
152,Marsa Matruh,EG,51.8,31.35,27.25,93,20,2.24
153,Tasiilaq,GL,28.4,65.61,-37.64,86,92,42.5
154,Pitimbu,BR,78.8,-7.47,-34.81,94,0,3.36
155,Gizo,IL,48,31.8,34.94,81,0,2.24
156,Doha,QA,68,25.29,51.53,82,40,4.7
157,Coihaique,CL,51.53,-45.58,-72.07,58,0,6.93
158,Vigrestad,NO,43.93,58.57,5.7,48,0,10.29
159,Talara,PE,74.9,-4.58,-81.27,72,32,4.92
160,Balabac,PH,80.48,7.99,117.06,100,64,8.84
161,Riyadh,SA,60.8,24.63,46.72,55,0,3.36
162,Inisa,NG,74,7.99,4.65,90,0,7.61
163,Turayf,SA,50,31.68,38.65,71,75,11.41
164,Puerto Cabezas,NI,79.85,14.04,-83.39,96,92,14.65
165,Lebu,ET,60.8,8.96,38.73,63,75,2.24
166,Coahuayana,MX,65.18,18.62,-100.35,58,0,2.57
167,Hornslet,DK,43.68,56.32,10.32,81,68,10.29
168,Baykit,RU,30.98,61.68,96.39,87,80,12.86
169,Tautira,PF,87.37,-17.73,-149.15,70,75,12.75
170,Yulara,AU,78.8,-25.24,130.99,16,0,13.87
171,Quatre Cocos,MU,77,-20.21,57.76,83,20,6.15
172,Piacabucu,BR,79.85,-10.41,-36.43,81,92,4.81
173,Suez,EG,48.08,29.97,32.54,86,0,2.57
174,Nuuk,GL,32,64.17,-51.74,95,0,48.32
175,Rongotea,NZ,62.65,-40.29,175.43,56,56,7
176,Mnogovershinnyy,RU,29.72,53.94,139.92,71,8,3.47
177,Bridlington,GB,33.73,54.08,-0.19,100,92,3.36
178,Rantauprapat,ID,78.32,2.1,99.83,87,80,2.57
179,Colares,PT,52.92,38.8,-9.45,81,20,8.05
180,Casper,US,43.16,42.87,-106.31,48,90,5.82
181,Luderitz,NA,55.82,-26.65,15.16,90,0,6.49
182,Tuktoyaktuk,CA,-2.21,69.44,-133.03,70,40,10.29
183,Guerrero Negro,MX,59.33,27.97,-114.04,80,20,7.72
184,Bonavista,CA,32,48.65,-53.11,77,0,8.99
185,Belmonte,PT,35.21,40.36,-7.35,80,0,3.13
186,Dudinka,RU,24.32,69.41,86.18,93,80,7.27
187,Karangasem,ID,84.17,-6.7,108.49,100,44,7.61
188,Cayenne,GF,77,4.94,-52.33,88,75,5.82
189,Conneaut,US,41.43,41.95,-80.55,41,1,6.93
190,Pierre,US,40.66,44.37,-100.35,59,1,8.05
191,Kodiak,US,48.45,39.95,-94.76,14,1,3.02
192,Damietta,EG,59,31.42,31.81,82,0,3.36
193,Iqaluit,CA,5,63.75,-68.52,77,90,21.92
194,Puerto Carreno,CO,87.8,6.19,-67.49,52,0,1.34
195,Qaanaaq,GL,-10.33,77.48,-69.36,67,0,7.61
196,Vanimo,PG,84.08,-2.67,141.3,97,24,15.66
197,Broome,GB,32.61,52.47,1.45,93,80,5.82
198,Katubao,PH,84.2,5.89,124.83,66,75,4.7
199,Kumo,NG,67.79,10.05,11.21,47,0,2.57
200,Sur,OM,80.03,22.57,59.53,81,24,4.7
201,Ciudad Bolivar,VE,82.28,8.12,-63.55,52,20,13.65
202,Nicoya,CR,78.58,10.15,-85.45,55,0,21.92
203,Bathsheba,BB,78.8,13.22,-59.52,74,75,20.8
204,Te Anau,NZ,59.6,-45.41,167.72,49,0,3.58
205,Norman Wells,CA,10.4,65.28,-126.83,66,75,10.29
206,Boulder City,US,74.25,35.98,-114.83,17,20,19.46
207,Paratinga,BR,71.84,-12.69,-43.18,94,20,4.92
208,Iralaya,HN,79.85,15,-83.23,85,56,8.95
209,Staryy Nadym,RU,21.17,65.61,72.68,83,64,12.64
210,Oranjemund,ZA,58.61,-28.55,16.43,92,0,2.91
211,Sibolga,ID,77.96,1.74,98.78,88,20,2.35
212,Hirara,JP,64.4,24.8,125.28,88,75,13.87
213,Yandyki,RU,42.68,45.77,47.13,100,92,20.24
214,Nioro,GM,80.3,13.79,-15.05,43,0,12.41
215,Ust-Omchug,RU,28.01,61.13,149.63,76,68,4.25
216,Pimentel,BR,73.1,-3.7,-45.5,98,76,4.7
217,Mahebourg,MU,77,-20.41,57.7,83,20,6.15
218,Shingu,JP,50,33.72,135.99,34,20,14.99
219,Libertador General San Martin,AR,66.35,-23.81,-64.79,90,32,2.68
220,Pisco,PE,69.8,-13.71,-76.2,88,0,17.22
221,Portland,US,57.45,45.52,-122.67,82,90,3.36
222,Oranjestad,AW,78.8,12.52,-70.03,78,20,14.99
223,Dawlatabad,AF,61.67,36.41,64.91,94,36,10.29
224,La Spezia,IT,51.01,44.11,9.83,93,75,6.93
225,Yumen,CN,53.57,40.29,97.04,41,24,2.91
226,San Lorenzo,PY,71.6,-25.34,-57.51,94,75,4.7
227,Jumla,NP,35.75,29.28,82.18,68,0,1.9
228,Shuangyang,CN,68.42,25,118.61,75,36,8.16
229,Talnakh,RU,25.04,69.49,88.39,96,92,2.91
230,Almeria,ES,57.2,36.84,-2.46,87,8,3.36
231,Tooele,US,46.42,40.53,-112.3,76,90,11.41
232,Olinda,EC,78.62,-2.03,-79.75,74,40,9.17
233,Ayagoz,KZ,52.22,47.96,80.43,58,0,6.6
234,Ukhta,RU,25.49,63.56,53.68,89,0,5.7
235,Vila Franca do Campo,PT,54.39,37.72,-25.43,87,75,12.75
236,Arraial do Cabo,BR,69.8,-22.97,-42.02,88,20,7.16
237,Ketchikan,US,60.3,55.34,-131.65,33,1,12.75
238,Roebourne,AU,96.77,-20.77,117.15,29,0,5.48
239,The Valley,AI,77.94,18.22,-63.06,69,40,12.75
240,Atambua,ID,82.28,-9.11,124.89,100,32,2.91
241,Saldanha,PT,37.19,41.42,-6.55,88,0,5.03
242,Angoche,MZ,79.04,-16.23,39.91,100,80,13.76
243,Kaeo,NZ,66.99,-35.1,173.78,69,92,5.01
244,Matara,PE,40.79,-13.74,-72.9,94,0,2.91
245,Aykhal,RU,28.55,65.95,111.51,82,68,8.72
246,Golden,CA,29,51.3,-116.96,79,20,1.34
247,Okakarara,NA,56.72,-20.59,17.46,90,0,2.57
248,San Isidro,PH,77.42,16.74,121.63,95,80,1.68
249,Karlivka,UA,33.41,49.46,35.11,67,0,12.19
250,Seeboden,AT,41.29,46.82,13.52,75,75,4.7
251,Zhigansk,RU,31.88,66.77,123.37,84,88,8.28
252,Lompoc,US,57.11,34.64,-120.46,93,90,8.05
253,Tiksi,RU,17.57,71.64,128.87,81,48,3.91
254,Constitucion,MX,70.74,23.99,-104.67,11,75,16.11
255,Cam Ranh,VN,87.8,11.92,109.15,62,20,4.7
256,Albert,FR,39.2,50,2.65,86,90,2.24
257,Cidreira,BR,70.4,-30.17,-50.22,92,0,4.7
258,Moussoro,TD,73.55,13.64,16.49,19,0,11.18
259,Vostok,RU,37.01,46.45,135.83,45,64,3.13
260,Hofn,IS,27.29,64.25,-15.21,100,0,7.94
261,Sikasso,ML,72.02,11.32,-5.68,96,64,12.86
262,Kabanjahe,ID,75.71,3.1,98.49,82,24,2.24
263,Senanga,ZM,67.7,-16.1,23.3,44,0,9.17
264,Yar-Sale,RU,19.28,66.83,70.83,81,12,14.65
265,Opuwo,NA,58.79,-18.06,13.84,87,0,2.57
266,Kisangani,CD,70.94,0.52,25.21,100,56,2.24
267,Goderich,CA,41.56,43.74,-81.71,67,80,1.99
268,La Ronge,CA,19.4,55.1,-105.3,48,75,18.34
269,Port Keats,AU,93.17,-14.25,129.55,59,0,11.3
270,Miles City,US,42.93,46.41,-105.84,52,40,4.7
271,Campoverde,IT,49.08,41.54,12.73,81,0,4.7
272,Ponca City,US,60.75,36.73,-97.07,51,1,4.7
273,Caravelas,BR,80.84,-17.73,-39.27,100,0,7.38
274,San Andres,PH,81.11,13.32,122.68,100,0,7.94
275,La Palma,CO,66.35,5.36,-74.39,99,56,0.67
276,Lata,IN,54.47,30.78,78.62,60,0,2.13
277,Malpe,IN,75.2,13.35,74.72,78,20,4.7
278,Puerto del Rosario,ES,64.4,28.5,-13.86,82,0,12.75
279,Muros,ES,44.96,42.77,-9.06,93,75,4.7
280,Saint-Augustin,FR,46.49,44.83,-0.61,87,92,11.41
281,Bethel,US,44.55,60.79,-161.76,52,1,11.41
282,Dingzhou,CN,51.8,38.51,115,43,0,4.47
283,Kollam,IN,84.2,8.88,76.6,79,20,4.7
284,Pahrump,US,69.57,36.21,-115.98,19,40,28.86
285,Naze,NG,76.52,5.43,7.07,92,24,6.26
286,Hokitika,NZ,59.96,-42.72,170.96,92,0,4.7
287,Costa Rica,MX,72.72,24.59,-107.39,50,90,9.17
288,Thinadhoo,MV,83.72,0.53,72.93,100,92,9.17
289,Grants,US,55.4,35.15,-107.85,24,1,4.7
290,Khuzhir,RU,39.8,53.19,107.35,78,80,6.71
291,Alexandria,US,52.63,31.31,-92.44,50,1,6.49
292,Tiarei,PF,87.37,-17.53,-149.33,70,75,12.75
293,Port-Gentil,GA,82.28,-0.72,8.78,98,88,1.12
294,Bayonet Point,US,60.98,28.33,-82.68,82,1,3.36
295,Aksarka,RU,18.47,66.56,67.8,79,0,12.64
296,Mukhen,RU,41.15,48.19,136.14,44,20,3.13
297,Kedrovyy,RU,35.6,56.17,91.82,51,0,17.9
298,Sisimiut,GL,21.44,66.94,-53.67,100,76,1.9
299,Kochi,IN,78.8,9.96,76.25,88,20,4.59
300,Margate,AU,58.44,-43.03,147.26,54,75,21.92
301,Touros,BR,78.8,-5.2,-35.46,94,20,4.7
302,Ulaangom,MN,44.12,49.98,92.07,60,0,1.23
303,Una,BR,78.8,-15.29,-39.07,88,40,3.36
304,Alofi,NU,82.4,-19.06,-169.92,65,75,14.99
305,Carnarvon,ZA,47.99,-30.97,22.13,48,24,3.69
306,Beringovskiy,RU,29.63,63.05,179.32,100,88,19.01
307,Nobeoka,JP,46.99,32.66,131.66,64,36,2.8
308,Clive,US,44.74,41.61,-93.78,52,1,4.7
309,Fairbanks,US,35.89,64.84,-147.72,55,75,11.41
310,Sergeyevka,KZ,36.2,53.88,67.42,86,88,18.68
311,Udachnyy,RU,31.16,66.42,112.4,74,80,5.37
312,Bima,ID,83.27,-8.45,118.73,87,12,2.57
313,Anqiu,CN,61.31,36.48,119.21,31,0,9.4
314,Namibe,AO,79.22,-15.19,12.15,100,0,6.49
315,Nara,JP,48.63,34.68,135.8,45,20,8.05
316,Verkhoshizhemye,RU,15.95,58.01,49.1,62,0,5.37
317,Xingcheng,CN,65.27,40.62,120.71,20,0,16.22
318,Sola,FI,28.74,62.78,29.36,74,0,4.7
319,Salekhard,RU,18.02,66.54,66.62,76,44,10.74
320,San Patricio,PY,70.85,-26.98,-56.83,94,92,4.14
321,Laje,BR,72.56,-13.18,-39.42,89,88,5.59
322,Hithadhoo,MV,84.35,-0.6,73.08,100,76,9.17
323,Verkhoyansk,RU,22.43,67.55,133.39,68,80,3.69
324,Venezuela,CU,79.31,21.74,-78.8,78,24,8.5
325,Abu Zabad,SD,61.94,12.35,29.25,21,0,10.4
326,Ryazanskaya,RU,42.06,44.96,39.59,86,75,8.95
327,Arman,RU,37.55,59.7,150.17,75,88,7.61
328,Manggar,ID,85.52,-2.88,108.27,95,0,4.14
329,Mehamn,NO,25.85,71.03,27.85,87,80,2.91
330,Talcahuano,CL,62.6,-36.72,-73.12,77,0,8.05
331,Fort Nelson,CA,30.2,58.81,-122.69,92,90,5.82
332,Ossora,RU,33.32,59.24,163.07,94,92,20.24
333,Tubinskiy,RU,33.8,52.89,58.22,95,90,20.13
334,Narsaq,GL,32,60.91,-46.05,87,80,9.17
335,Inongo,CD,76.52,-1.93,18.29,93,0,3.91
336,Port Hardy,CA,55.4,50.7,-127.42,58,90,2.24
337,Hyeres,FR,50.47,43.12,6.14,93,68,2.24
338,Laguna,MX,77,27.52,-110.01,41,75,5.82
339,Tilichiki,RU,35.57,60.47,166.1,85,64,14.88
340,Bandarbeyla,SO,78.5,9.49,50.81,100,92,3.13
341,Coracora,PE,41.15,-15.02,-73.78,97,56,1.68
342,Tigre,AR,74.16,-34.42,-58.58,78,75,6.93
343,San Francisco,US,55.72,37.78,-122.42,93,75,3.36
344,Lagoa,PT,55,37.14,-8.45,82,0,1.12
345,Galiakot,IN,81.02,23.54,74.01,39,0,5.93
346,Iracoubo,GF,78.95,5.48,-53.21,75,92,5.7
347,Mana,RS,47.25,43.52,20.24,65,0,1.12
348,Jovellar,PH,83.99,13.07,123.6,67,48,5.14
349,Morgan City,US,54.86,29.7,-91.21,76,1,4.59
350,Husavik,CA,24.55,50.56,-96.99,77,80,5.37
351,Svetlogorsk,RU,33.8,53.14,59.15,84,90,20.13
352,Binzhou,CN,62.01,37.38,117.96,30,0,7.49
353,Quelimane,MZ,71.6,-17.88,36.89,94,20,3.36
354,Barao de Melgaco,BR,87.8,-16.19,-55.97,74,0,1.57
355,Whitianga,NZ,68,-36.83,175.7,71,24,1.01
356,Neuquen,AR,60.8,-38.95,-68.06,63,0,1.12
357,Weihe,CN,59,32.99,105.33,63,76,2.91
358,Inirida,CO,74.18,3.87,-67.92,96,24,2.13
359,Athabasca,CA,32.42,54.72,-113.29,58,80,4.7
360,Ahuimanu,US,78.13,21.44,-157.84,69,75,16.11
361,Misawa,JP,33.58,40.75,141.38,74,75,11.41
362,Pervomayskoye,RU,31.07,57.07,86.23,93,0,9.17
363,Vardo,US,38.89,39.62,-77.74,74,75,2.24
364,Daan,YE,63.38,17,43.43,98,0,2.01
365,Polovinnoye,RU,33.95,54.79,65.99,92,92,20.02
366,Bay Roberts,CA,30.42,47.58,-53.28,74,20,16.11
367,Huadian,CN,46.73,42.97,126.75,37,0,11.18
368,Boende,CD,74.45,-0.28,20.88,97,0,2.68
369,Sharjah,AE,79.81,25.36,55.39,42,0,9.17
370,Ambilobe,MG,69.68,-13.19,49.05,96,0,2.91
371,Turukhansk,RU,26.75,65.8,87.96,100,92,21.92
372,Rawson,AR,57.62,-43.3,-65.11,32,0,9.62
373,Saurimo,AO,65.18,-9.66,20.4,88,20,4.92
374,Taoudenni,ML,70.76,22.68,-3.98,51,88,8.72
375,Avera,US,47.25,33.19,-82.53,87,1,2.13
376,Okhotsk,RU,38.45,59.36,143.24,63,8,3.69
377,Puerto Madero,AR,74.07,-34.61,-58.36,78,75,6.93
378,Walvis Bay,NA,59,-22.95,14.51,82,0,8.05
379,Pacific Grove,US,55.02,36.62,-121.92,87,90,6.93
380,Inhambane,MZ,72.38,-23.87,35.38,100,92,7.94
381,Sao Felix do Xingu,BR,73.37,-6.64,-51.99,99,0,2.13
382,Dwarka,IN,75.33,28.58,77.04,56,0,5.14
383,North Bend,US,55.83,43.41,-124.22,82,90,9.17
384,Nosy Varika,MG,74.18,-20.58,48.53,100,64,2.57
385,Ust-Barguzin,RU,36.74,53.41,109.03,90,80,5.03
386,Teknaf,BD,83.18,20.86,92.31,76,0,1.68
387,Pangnirtung,CA,2.63,66.15,-65.72,81,68,3.24
388,Nieuw Amsterdam,SR,78.87,5.88,-55.08,78,20,8.05
389,Kudahuvadhoo,MV,83.18,2.67,72.89,100,0,7.27
390,Rocha,UY,65.99,-34.48,-54.34,90,64,7.72
391,Fortuna,ES,54.48,38.18,-1.13,87,20,5.82
392,Byron Bay,AU,74.95,-28.65,153.62,77,90,12.86
393,Yima,CN,64.99,34.75,111.87,24,24,1.01
394,Jasper,US,51.35,33.83,-87.28,81,0,4.47
395,Tiznit,MA,62.12,29.7,-9.73,67,32,8.61
396,Rorvik,NO,33.01,64.86,11.24,76,36,8.05
397,Mackay,CA,44.62,53.65,-115.58,41,20,5.82
398,Khandyga,RU,31.7,62.65,135.58,53,0,3.36
399,Burns Lake,CA,38.63,54.23,-125.76,60,0,2.13
400,Pochutla,MX,82.09,15.74,-96.47,74,90,8.28
401,Lydenburg,ZA,64.99,-25.1,30.46,98,88,2.01
402,Chicama,PE,69.8,-7.84,-79.15,83,75,9.17
403,Port Blair,IN,77,11.67,92.75,88,20,1.12
404,Ilebo,CD,76.25,-4.33,20.59,82,20,3.58
405,Nyurba,RU,35.03,63.29,118.35,64,0,5.82
406,Honningsvag,NO,29.18,70.98,25.97,100,88,3.47
407,Tateyama,JP,45.1,36.66,137.31,88,40,5.82
408,Yarmouth,GB,32.34,50.71,-1.5,100,12,1.12
409,Shitanjing,CN,56.09,39.23,106.34,23,24,3.36
410,Slobodskoy,RU,13.52,58.73,50.18,58,0,2.91
411,Patacamaya,BO,41.42,-17.23,-67.92,100,88,4.81
412,Puerto Leguizamo,CO,76.52,-0.19,-74.78,93,48,1.57
413,Krasne,UA,39.2,49.91,24.61,35,0,15.66
414,Celestun,MX,77.78,20.87,-90.4,96,20,21.03
415,Hailey,US,36.3,43.52,-114.32,93,90,4.7
416,Buluang,PH,84.2,10.47,123.98,62,20,9.17
417,Brokopondo,SR,78.8,5.06,-54.98,78,20,8.05
418,Henties Bay,NA,59,-22.12,14.28,91,0,3
419,Broken Hill,AU,78.8,-31.97,141.45,26,0,2.24
420,Jinka,ET,62.84,5.79,36.57,69,8,1.23
421,Sao Raimundo das Mangabeiras,BR,71.3,-7.02,-45.48,97,48,2.57
422,Peniche,PT,51.22,39.36,-9.38,81,20,8.05
423,Kutum,SD,54.65,14.2,24.66,32,0,6.6
424,Manono,CD,71.3,-7.3,27.4,90,20,2.57
425,Sao Filipe,CV,69.77,14.9,-24.5,99,0,14.76
426,Waycross,US,48.87,31.21,-82.35,87,1,5.14
427,Kahului,US,76.55,20.89,-156.47,54,40,19.46
428,Abaza,RU,44.3,52.65,90.1,75,76,7.05
429,Dothan,US,56.34,31.22,-85.39,71,1,6.71
430,Hamilton,BM,68.54,32.3,-64.78,83,75,14.99
431,Sao Joao da Barra,BR,78.68,-21.64,-41.05,100,8,7.72
432,Lorengau,PG,83.72,-2.02,147.27,95,64,11.97
433,Gisborne,NZ,63,-38.66,178.02,71,76,11.99
434,Gushikawa,JP,67.35,26.35,127.87,52,75,10.29
